               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
213,1.7424,1.1395,1.2339,0.74517,0.69344,0.72766,0.44048,0,0,0,0.003004,0.003004,0.003004
214,1.7149,1.0872,1.2278,0.85668,0.67016,0.72603,0.42938,0,0,0,0.002971,0.002971,0.002971
215,1.7242,1.0964,1.1969,0.72157,0.65991,0.70734,0.43157,0,0,0,0.002938,0.002938,0.002938
216,1.6788,1.086,1.2329,0.58006,0.62889,0.62506,0.40266,0,0,0,0.002905,0.002905,0.002905
217,1.6635,1.1547,1.2364,0.68903,0.65183,0.67694,0.42248,0,0,0,0.002872,0.002872,0.002872
218,1.7162,1.0791,1.2347,0.7234,0.70256,0.73501,0.43724,0,0,0,0.002839,0.002839,0.002839
219,1.628,1.033,1.18,0.70683,0.68286,0.73413,0.44307,0,0,0,0.002806,0.002806,0.002806
220,1.7957,1.2036,1.2386,0.63118,0.68603,0.71991,0.43926,0,0,0,0.002773,0.002773,0.002773
221,1.7448,1.148,1.2348,0.8401,0.67492,0.74279,0.45291,0,0,0,0.00274,0.00274,0.00274
222,1.6869,1.0586,1.2174,0.88088,0.63841,0.69865,0.43489,0,0,0,0.002707,0.002707,0.002707
223,1.6902,1.0618,1.237,0.66842,0.65703,0.68847,0.43284,0,0,0,0.002674,0.002674,0.002674
224,1.6207,0.98664,1.2064,0.77643,0.67501,0.71234,0.45583,0,0,0,0.002641,0.002641,0.002641
225,1.5756,1.0086,1.1952,0.78884,0.67027,0.72831,0.45013,0,0,0,0.002608,0.002608,0.002608
226,1.6762,1.1138,1.2255,0.76194,0.68006,0.73091,0.45288,0,0,0,0.002575,0.002575,0.002575
227,1.6916,1.0634,1.2217,0.69097,0.68286,0.72232,0.441,0,0,0,0.002542,0.002542,0.002542
228,1.6684,1.0783,1.2138,0.7423,0.66222,0.69852,0.42835,0,0,0,0.002509,0.002509,0.002509
229,1.6605,1.0621,1.213,0.75027,0.66222,0.68372,0.43194,0,0,0,0.002476,0.002476,0.002476
230,1.6533,1.0332,1.2215,0.75628,0.6671,0.70677,0.43837,0,0,0,0.002443,0.002443,0.002443
231,1.6065,0.97738,1.1819,0.72852,0.64794,0.67063,0.42141,0,0,0,0.00241,0.00241,0.00241
232,1.6187,0.99924,1.1869,0.59399,0.68127,0.67721,0.42109,0,0,0,0.002377,0.002377,0.002377
233,1.6588,1.0725,1.2089,0.88594,0.64476,0.70726,0.44312,0,0,0,0.002344,0.002344,0.002344
234,1.6366,1.0194,1.2174,0.73138,0.65429,0.69744,0.42687,0,0,0,0.002311,0.002311,0.002311
235,1.6219,0.9715,1.1684,0.7789,0.65905,0.70689,0.42989,0,0,0,0.002278,0.002278,0.002278
