               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
185,1.537,1.0056,1.1583,0.63215,0.47219,0.49616,0.31204,0,0,0,0.003928,0.003928,0.003928
186,1.5353,0.99608,1.163,0.63026,0.47262,0.49619,0.31214,0,0,0,0.003895,0.003895,0.003895
187,1.5515,1.0104,1.1616,0.63013,0.47271,0.4963,0.31214,0,0,0,0.003862,0.003862,0.003862
188,1.5393,0.99731,1.1606,0.63063,0.47269,0.49648,0.31233,0,0,0,0.003829,0.003829,0.003829
189,1.5381,0.99554,1.1568,0.6313,0.47291,0.49669,0.31239,0,0,0,0.003796,0.003796,0.003796
190,1.5395,0.99889,1.1583,0.63196,0.47344,0.4967,0.31247,0,0,0,0.003763,0.003763,0.003763
191,1.5349,0.99817,1.1585,0.63114,0.47443,0.49674,0.31256,0,0,0,0.00373,0.00373,0.00373
192,1.5393,0.99833,1.1582,0.63067,0.47445,0.49679,0.31263,0,0,0,0.003697,0.003697,0.003697
193,1.532,0.99169,1.1587,0.6296,0.47545,0.49678,0.31271,0,0,0,0.003664,0.003664,0.003664
194,1.5399,0.99955,1.1591,0.62869,0.47609,0.49698,0.31277,0,0,0,0.003631,0.003631,0.003631
195,1.5306,0.99138,1.1572,0.62835,0.47546,0.49712,0.31275,0,0,0,0.003598,0.003598,0.003598
196,1.5378,0.99062,1.161,0.62818,0.47548,0.49716,0.31288,0,0,0,0.003565,0.003565,0.003565
197,1.5315,0.99507,1.1583,0.62955,0.47486,0.49697,0.31278,0,0,0,0.003532,0.003532,0.003532
198,1.5314,0.98929,1.1564,0.62893,0.47459,0.49705,0.31288,0,0,0,0.003499,0.003499,0.003499
199,1.5311,0.98531,1.1568,0.62918,0.47473,0.49721,0.31289,0,0,0,0.003466,0.003466,0.003466
200,1.5266,0.9864,1.1555,0.63165,0.47459,0.49729,0.31303,0,0,0,0.003433,0.003433,0.003433
201,1.5287,0.98509,1.1572,0.63132,0.47418,0.49753,0.31314,0,0,0,0.0034,0.0034,0.0034
202,1.5235,0.97547,1.1577,0.63139,0.47407,0.49768,0.31328,0,0,0,0.003367,0.003367,0.003367
203,1.5323,0.98539,1.1575,0.63168,0.47408,0.4975,0.31318,0,0,0,0.003334,0.003334,0.003334
204,1.5223,0.97941,1.1556,0.63185,0.47386,0.49763,0.31327,0,0,0,0.003301,0.003301,0.003301
205,1.5134,0.97281,1.1542,0.6338,0.47337,0.49765,0.31332,0,0,0,0.003268,0.003268,0.003268
206,1.5233,0.97957,1.153,0.63423,0.47337,0.49771,0.31344,0,0,0,0.003235,0.003235,0.003235
207,1.5305,0.98273,1.1584,0.63063,0.47453,0.49782,0.31356,0,0,0,0.003202,0.003202,0.003202
208,1.5202,0.97156,1.1536,0.63092,0.47425,0.49786,0.31367,0,0,0,0.003169,0.003169,0.003169
209,1.5216,0.97315,1.1546,0.63019,0.47541,0.49802,0.31378,0,0,0,0.003136,0.003136,0.003136
210,1.5187,0.96911,1.1537,0.63216,0.47484,0.49838,0.31395,0,0,0,0.003103,0.003103,0.003103
211,1.5115,0.97025,1.1553,0.63323,0.4739,0.49841,0.31408,0,0,0,0.00307,0.00307,0.00307
212,1.5152,0.96773,1.1492,0.63317,0.4743,0.49816,0.31398,0,0,0,0.003037,0.003037,0.003037
213,1.5192,0.96824,1.153,0.63334,0.47432,0.49823,0.31402,0,0,0,0.003004,0.003004,0.003004
214,1.5158,0.96103,1.1504,0.6333,0.47419,0.49863,0.31417,0,0,0,0.002971,0.002971,0.002971
215,1.5037,0.95742,1.1516,0.63337,0.47434,0.49848,0.31422,0,0,0,0.002938,0.002938,0.002938
216,1.5046,0.95812,1.1542,0.63363,0.47461,0.49856,0.31416,0,0,0,0.002905,0.002905,0.002905
217,1.5096,0.96134,1.1523,0.63325,0.47533,0.49877,0.31432,0,0,0,0.002872,0.002872,0.002872
218,1.5028,0.95236,1.1514,0.6342,0.47463,0.49898,0.31438,0,0,0,0.002839,0.002839,0.002839
219,1.511,0.95841,1.1507,0.63444,0.47467,0.49941,0.31469,0,0,0,0.002806,0.002806,0.002806
220,1.5112,0.96418,1.1531,0.63424,0.47442,0.4995,0.3147,0,0,0,0.002773,0.002773,0.002773
221,1.4949,0.94611,1.1503,0.63198,0.47608,0.49968,0.31482,0,0,0,0.00274,0.00274,0.00274
222,1.5039,0.95298,1.1509,0.63354,0.47561,0.49981,0.31483,0,0,0,0.002707,0.002707,0.002707
223,1.5015,0.95089,1.1501,0.63351,0.47572,0.50002,0.31497,0,0,0,0.002674,0.002674,0.002674
224,1.5098,0.95696,1.1532,0.63475,0.47521,0.50012,0.315,0,0,0,0.002641,0.002641,0.002641
225,1.5176,0.96298,1.1502,0.636,0.47404,0.5002,0.31509,0,0,0,0.002608,0.002608,0.002608
226,1.4886,0.94039,1.1487,0.63598,0.47422,0.50022,0.3151,0,0,0,0.002575,0.002575,0.002575
227,1.4969,0.9434,1.1518,0.63792,0.47367,0.50033,0.31523,0,0,0,0.002542,0.002542,0.002542
228,1.4971,0.94777,1.1479,0.6379,0.47345,0.5004,0.31523,0,0,0,0.002509,0.002509,0.002509
229,1.4975,0.94572,1.1495,0.63809,0.47358,0.50045,0.31525,0,0,0,0.002476,0.002476,0.002476
230,1.4996,0.94487,1.1477,0.63824,0.47366,0.50056,0.31527,0,0,0,0.002443,0.002443,0.002443
231,1.4872,0.94099,1.148,0.63795,0.47337,0.50068,0.31533,0,0,0,0.00241,0.00241,0.00241
232,1.5005,0.94765,1.1467,0.63846,0.47337,0.50077,0.31542,0,0,0,0.002377,0.002377,0.002377
